status,tempo_empresa,moradia,tempo_emprestimo,idade,estado_civil,registros,trabalho,despesas,renda,ativos,dividas,valor_emprestimo,preco_do_bem
bom,9,alugada,60,30,casada(o),não,autônomo,73,129,0,0,800,846
bom,17,alugada,60,58,viúva(o),não,fixo,48,131,0,0,1000,1658
ruim,10,própria,36,46,casada(o),sim,autônomo,90,200,3000,0,2000,2985
bom,0,alugada,60,24,solteira(o),não,fixo,63,182,2500,0,900,1325
bom,0,alugada,36,26,solteira(o),não,fixo,46,107,0,0,310,910
bom,1,própria,60,36,casada(o),não,fixo,75,214,3500,0,650,1645
bom,29,própria,60,44,casada(o),não,fixo,75,125,10000,0,1600,1800
bom,9,pais,12,27,solteira(o),não,fixo,35,80,0,0,200,1093
bom,0,própria,60,32,casada(o),não,autônomo,90,107,15000,0,1200,1957
ruim,0,pais,48,41,casada(o),não,meio período,90,80,0,0,1200,1468
bom,6,própria,48,34,casada(o),não,autônomo,60,125,4000,0,1150,1577
bom,7,própria,36,29,casada(o),não,fixo,60,121,3000,0,650,915
bom,8,própria,60,30,casada(o),não,fixo,75,199,5000,2500,1500,1650
bom,19,priv,36,37,casada(o),não,fixo,75,170,3500,260,600,940
ruim,0,outras,18,21,solteira(o),sim,meio período,35,50,0,0,400,500
bom,0,própria,24,68,casada(o),não,fixo,75,131,4162,0,900,1186
bom,15,priv,24,52,solteira(o),não,autônomo,35,330,16500,0,1500,2201
bom,33,alugada,24,68,casada(o),não,autônomo,65,200,5000,2000,600,1350
ruim,0,NA,48,36,casada(o),não,meio período,45,130,750,0,1100,1511
bom,1,pais,60,31,solteira(o),não,fixo,35,137,0,0,1250,1253
ruim,2,alugada,60,25,solteira(o),não,fixo,46,107,0,0,1500,2189
bom,5,própria,60,22,solteira(o),não,fixo,45,324,10000,0,1100,1159
ruim,1,própria,60,45,casada(o),não,meio período,105,112,2000,500,600,1332
bom,27,alugada,60,41,casada(o),não,fixo,74,140,0,0,950,1497
bom,26,própria,60,51,casada(o),não,fixo,45,143,3500,0,1350,1357
bom,12,própria,36,54,casada(o),não,fixo,60,130,4000,0,700,2100
bom,19,própria,60,43,solteira(o),não,fixo,75,180,4000,0,1000,1070
bom,15,própria,36,43,casada(o),não,fixo,75,251,4000,0,1800,2557
ruim,3,própria,24,23,casada(o),não,fixo,75,85,5000,0,600,1600
ruim,0,NA,48,37,solteira(o),não,NA,35,NA,NA,NA,1500,1850
bom,4,própria,48,29,casada(o),não,fixo,45,150,5000,3300,1100,1312
ruim,0,própria,36,23,solteira(o),não,meio período,45,122,2500,0,400,400
bom,14,priv,24,51,casada(o),não,meio período,75,198,1000,0,450,650
bom,10,própria,36,39,casada(o),não,autônomo,75,150,3000,0,1000,1394
bom,12,pais,36,35,solteira(o),não,fixo,35,170,0,0,1100,1542
bom,32,própria,24,62,casada(o),não,autônomo,45,119,8500,0,700,1200
bom,10,própria,24,56,casada(o),não,autônomo,45,208,13500,0,500,1560
bom,7,própria,48,32,casada(o),não,fixo,75,115,3000,0,800,1200
ruim,1,alugada,54,36,casada(o),não,fixo,70,99,0,0,950,950
